,name,address,post_codes,lat,long
88,Coop,"Zürcherstrasse 13A, 8903 Birmensdorf",8903,47.3542257,8.436352399999999
89,Coop,"Airport Center, 8060 Zürich",8060,47.3768866,8.541694
90,Coop,"Feldstrasse 2, 8105 Regensdorf",8105,47.4374853,8.474880299999999
91,Coop,"Seestrasse 17, 8703 Erlenbach",8703,47.3467035,8.5643155
92,Coop,"Schaffhauserstrasse 146, 8302 Kloten",8302,47.45316160000001,8.5810155
93,Coop,"Florastrasse 1, 8800 Thalwil",8800,47.2969267,8.5618553
94,Coop,"Birmensdorferstrasse 79, 8902 Urdorf",8902,47.38488340000001,8.4222555
95,Coop,"Industriestrasse 1, 8604 Volketswil",8604,47.38251289999999,8.6675693
96,Coop,"Birmendorferstrasse 9, 8953 Dietikon",8953,47.3981458,8.4178599
97,Coop,"Oberglatterstrasse 35, 8153 Rümlang",8153,47.4631645,8.5257705
98,Coop,"Höflistrasse 7, 8135 Langnau am Albis",8135,47.2892437,8.5397724
99,Coop,"Breitistrasse 32, 8303 Bassersdorf",8303,47.4425176,8.6316285
100,Coop,"Industriestrasse 14, 8108 Dällikon",8108,47.4440119,8.4416617
101,Coop,"Florastrasse 22+24, 8953 Dietikon",8953,47.4000625,8.4003125
102,Coop,"Alte Landstrasse 26, 8942 Oberrieden",8942,47.2782358,8.5753919
103,Coop,"Huebwiesenstrasse 25, 8954 Geroldswil",8954,47.4214261,8.4097309
104,Coop,"Forchstrasse 45, 8704 Herrliberg",8704,47.3170466,8.665456599999999
105,Coop,"Steinmürlistrasse 38, 8953 Dietikon",8953,47.4057097,8.392097399999999
106,Coop,"Zürcherstrasse 10, 8107 Buchs",8107,47.45774919999999,8.4381817
107,Coop,"General-Willestrasse 65, 8706 Feldmeilen",8706,47.2795598,8.6153894
108,Coop,"Silbernstrasse 9, 8953 Dietikon",8953,47.4185483,8.3920055
109,Coop,"Haldenstrasse 10, 8307 Effretikon",8307,47.42846309999999,8.68468
110,Coop,"Sonnenbergstrasse 8, 8610 Uster",8610,47.34587399999999,8.7020372
111,Coop,"Illnauerstrasse 16, 8307 Effretikon",8307,47.426901,8.6920444
112,Coop,"Sägereistrasse 2, 8172 Niederglatt",8172,47.4912333,8.503893999999999
113,Coop,"Winterthurerstrasse 22, 8610 Uster",8610,47.35503320000001,8.7128684
114,Coop,"Bahnhofstrasse 3, 8965 Berikon",8965,47.3617211,8.3677117
115,Coop,"Niederhaslistrasse 5, 8157 Dielsdorf",8157,47.484392,8.4655937
116,Coop,"Uster Bahnhof, 8610 Uster",8610,47.35036,8.718689
117,Coop,"Büelstrasse 15, 8910 Affoltern am Albis",8910,47.2738709,8.445676299999999
118,Coop,"Zugerstrasse 35, 8810 Horgen",8810,47.2592149,8.5987718
119,Coop,"Gewerbestrasse 13, 8132 Egg ZH",8132,47.3040831,8.691676800000002
120,Coop,"Grabenstrasse 6, 8184 Bachenbülach",8184,47.5064024,8.5406855
121,Coop,"Grabenstrasse 6, 8184 Bachenbülach",8184,47.5064024,8.5406855
122,Coop,"Dorfstrasse 140, 8706 Meilen",8706,47.2686266,8.6465684
123,Coop,"Aathalstrasse 40, 8610 Uster",8610,47.3451066,8.730619599999999
124,Coop,"Sonnengutstrasse 2, 5620 Bremgarten",5620,47.3515251,8.3479545
125,Coop,"Ottenbacherstrasse 23, 8912 Obfelden",8912,47.266924,8.4242246
126,Coop,"Poststrasse 1, 5436 Würenlos",5436,47.4433022,8.362069199999999
127,Coop,"Dorfstrasse 138, 8424 Embrach",8424,47.5109947,8.594256699999999
128,Coop,"Einsiedlerstrasse 301, 8810 Horgen",8810,47.2454475,8.6079657
129,Coop,"Shopping-Raststätte A1, 5436 Würenlos",5436,47.4237384,8.3838173
130,Coop,"Grundstrasse 1, 8320 Fehraltorf",8320,47.3867775,8.7549285
131,Coop,"Bergstrasse 93, 8707 Uetikon",8707,47.2626915,8.6771383
132,Coop,"Schaffhauserstrasse 110, 8180 Bülach",8180,47.52707299999999,8.5360678
133,Coop,"Alte Landstrasse 26, 8804 Au",8804,47.2421863,8.6555767
134,Coop,"Dammstrasse 18, 8708 Männedorf",8708,47.255438,8.6897305
135,Coop,"Albertstrasse 2, 5432 Neuenhof",5432,47.4491504,8.3283972
136,Coop,"Büelgass, 8625 Gossau",8625,47.3055606,8.7569243
137,Coop,"Turmstrasse 8/10, 8330 Pfäffikon",8330,47.3690994,8.781915999999999
138,Coop,"Zürcherstrasse 51, 8406 Winterthur",8406,47.494827,8.7127721
139,Coop,"Jurastrasse 42-46, 5430 Wettingen",5430,47.4582992,8.3293304
140,Coop,"Zentrum 2, 5443 Niederrohrdorf",5443,47.4237754,8.3051684
141,Coop,"Wülflingerstrasse 271, 8408 Winterthur",8408,47.5101231,8.6915216
142,Coop,"Florhofstrasse 9, 8820 Wädenswil",8820,47.2306389,8.6699631
143,Coop,"Zugerstrasse 6, 8820 Wädenswil",8820,47.23030139999999,8.6724502
144,Coop,"Seetalstrasse 1, 5630 Muri",5630,47.2726526,8.3409972
145,Coop,"Winterthurstrasse 17, 8413 Neftenbach",8413,47.5264811,8.6690004
146,Coop,"Bahnhofplatz 3, 8400 Winterthur",8400,47.4993784,8.7235009
147,Coop,"Bahnhofplatz 5, 8400 Winterthur",8400,47.4994672,8.7232865
148,Coop,"Bankstrasse 8/12, 8400 Winterthur",8400,47.5005535,8.7259011
149,Coop,"Dorfstrasse 8A, 8483 Kollbrunn",8483,47.4565058,8.7736091
150,Coop,"Feldstrasse 11, 8400 Winterthur",8400,47.5085541,8.717882399999999
151,Coop,"Dorfstrasse 17, 5420 Ehrendingen",5420,47.4942386,8.3408204
152,Coop,"Oberdorfstrasse 6A, 6340 Baar",6340,47.1956305,8.529893600000001
153,Coop,"Kirchgasse 4, 8620 Wetzikon",8620,47.3261749,8.7976149
154,Coop,"Emmerstrasse 12, 8192 Glattfelden",8192,47.55682849999999,8.5027777
155,Coop,"Poststrasse 3, 6340 Baar",6340,47.1951121,8.5238544
156,Coop,"Tösstalstrasse 236, 8405 Winterthur",8405,47.4845901,8.7587302
157,Coop,"Kronenstrasse 4+6, 8712 Stäfa",8712,47.2415352,8.7244654
158,Coop,"Bahnhofstrasse 7, 6312 Steinhausen",6312,47.196404,8.4826204
159,Coop,"Mellingerstrasse 212, 5405 Baden-Dättwil",5405,47.4507293,8.2905123
