,QuarLang,SteuerTarifLang,StichtagDatJahr,QuarSort,QuarCd,SteuerTarifSort,SteuerTarifCd,SteuerVermoegen_p50,SteuerVermoegen_p25,SteuerVermoegen_p75
78,Sihlfeld,Single-parent,2020.0,34.0,34.0,2.0,2.0,43.0,0.0,178.0
79,Sihlfeld,Basic single,2020.0,34.0,34.0,0.0,0.0,36.0,2.0,152.0
80,Sihlfeld,Married person,2020.0,34.0,34.0,1.0,1.0,108.0,9.0,396.0
81,Unterstrass,Single-parent,2020.0,61.0,61.0,2.0,2.0,72.0,6.0,245.0
82,Unterstrass,Basic single,2020.0,61.0,61.0,0.0,0.0,51.0,5.0,206.0
83,Unterstrass,Married person,2020.0,61.0,61.0,1.0,1.0,250.5,59.0,700.0
84,Weinegg,Single-parent,2020.0,83.0,83.0,2.0,2.0,135.0,15.0,539.0
85,Weinegg,Basic single,2020.0,83.0,83.0,0.0,0.0,57.0,5.0,280.0
86,Weinegg,Married person,2020.0,83.0,83.0,1.0,1.0,414.5,96.5,1391.0
87,Werd,Single-parent,2020.0,41.0,41.0,2.0,2.0,87.5,8.5,222.0
88,Werd,Basic single,2020.0,41.0,41.0,0.0,0.0,46.0,4.0,182.0
89,Werd,Married person,2020.0,41.0,41.0,1.0,1.0,184.0,15.0,535.0
90,Wipkingen,Single-parent,2020.0,102.0,102.0,2.0,2.0,73.0,10.0,240.0
91,Wipkingen,Basic single,2020.0,102.0,102.0,0.0,0.0,50.0,6.0,182.0
92,Wipkingen,Married person,2020.0,102.0,102.0,1.0,1.0,212.0,50.0,626.0
93,Witikon,Single-parent,2020.0,74.0,74.0,2.0,2.0,69.0,7.0,290.0
94,Witikon,Basic single,2020.0,74.0,74.0,0.0,0.0,81.0,9.0,444.0
95,Witikon,Married person,2020.0,74.0,74.0,1.0,1.0,405.5,96.0,1292.0
96,Wollishofen,Single-parent,2020.0,21.0,21.0,2.0,2.0,45.0,2.0,218.0
97,Wollishofen,Basic single,2020.0,21.0,21.0,0.0,0.0,49.0,5.0,216.0
98,Wollishofen,Married person,2020.0,21.0,21.0,1.0,1.0,232.0,52.5,686.0
