,QuarLang,AlterV10Sort,SexLang,Ziv2Lang,AnzBestWir
204,Alt-Wiedikon,5,Male,In registered partnership,26
205,Alt-Wiedikon,5,Male,Single,756
206,Alt-Wiedikon,5,Male,Married,639
207,Alt-Wiedikon,5,Female,Divorced,123
208,Alt-Wiedikon,5,Female,In registered partnership,7
209,Alt-Wiedikon,5,Female,Single,613
210,Alt-Wiedikon,5,Female,Married,600
211,Alt-Wiedikon,5,Female,Widowed,9
212,Alt-Wiedikon,6,Male,Dissolved partnership,2
213,Alt-Wiedikon,6,Male,Divorced,144
214,Alt-Wiedikon,6,Male,In registered partnership,19
215,Alt-Wiedikon,6,Male,Single,428
216,Alt-Wiedikon,6,Male,Married,533
217,Alt-Wiedikon,6,Male,Widowed,5
218,Alt-Wiedikon,6,Female,Dissolved partnership,3
219,Alt-Wiedikon,6,Female,Divorced,165
220,Alt-Wiedikon,6,Female,In registered partnership,7
221,Alt-Wiedikon,6,Female,Single,285
222,Alt-Wiedikon,6,Female,Married,427
223,Alt-Wiedikon,6,Female,Widowed,13
224,Alt-Wiedikon,7,Male,Divorced,109
225,Alt-Wiedikon,7,Male,In registered partnership,7
226,Alt-Wiedikon,7,Male,Single,168
227,Alt-Wiedikon,7,Male,Married,305
228,Alt-Wiedikon,7,Male,Widowed,9
229,Alt-Wiedikon,7,Female,Divorced,145
230,Alt-Wiedikon,7,Female,In registered partnership,2
231,Alt-Wiedikon,7,Female,Single,160
232,Alt-Wiedikon,7,Female,Unknown,2
233,Alt-Wiedikon,7,Female,Married,251
234,Alt-Wiedikon,7,Female,Widowed,24
235,Alt-Wiedikon,8,Male,Dissolved partnership,1
236,Alt-Wiedikon,8,Male,Divorced,70
237,Alt-Wiedikon,8,Male,In registered partnership,3
238,Alt-Wiedikon,8,Male,Single,73
239,Alt-Wiedikon,8,Male,Married,187
240,Alt-Wiedikon,8,Male,Widowed,15
241,Alt-Wiedikon,8,Female,Divorced,106
242,Alt-Wiedikon,8,Female,Single,115
243,Alt-Wiedikon,8,Female,Married,164
244,Alt-Wiedikon,8,Female,Widowed,66
245,Alt-Wiedikon,9,Male,Dissolved partnership,1
246,Alt-Wiedikon,9,Male,Divorced,19
247,Alt-Wiedikon,9,Male,In registered partnership,2
248,Alt-Wiedikon,9,Male,Single,20
249,Alt-Wiedikon,9,Male,Married,88
250,Alt-Wiedikon,9,Male,Widowed,28
251,Alt-Wiedikon,9,Female,Divorced,60
252,Alt-Wiedikon,9,Female,Single,52
253,Alt-Wiedikon,9,Female,Married,60
254,Alt-Wiedikon,9,Female,Widowed,106
255,Alt-Wiedikon,10,Male,Divorced,3
256,Alt-Wiedikon,10,Male,In registered partnership,2
257,Alt-Wiedikon,10,Male,Single,2
258,Alt-Wiedikon,10,Male,Married,16
259,Alt-Wiedikon,10,Male,Widowed,13
260,Alt-Wiedikon,10,Female,Divorced,6
261,Alt-Wiedikon,10,Female,Single,5
262,Alt-Wiedikon,10,Female,Married,5
263,Alt-Wiedikon,10,Female,Widowed,55
264,Alt-Wiedikon,11,Male,Widowed,1
265,Altstetten,1,Male,Single,1663
266,Altstetten,1,Female,Single,1551
267,Altstetten,2,Male,Single,1362
268,Altstetten,2,Male,Married,1
269,Altstetten,2,Female,Single,1179
270,Altstetten,3,Male,Divorced,11
271,Altstetten,3,Male,In registered partnership,7
272,Altstetten,3,Male,Single,2776
273,Altstetten,3,Male,Unknown,1
274,Altstetten,3,Male,Married,166
275,Altstetten,3,Female,Divorced,19
276,Altstetten,3,Female,In registered partnership,1
277,Altstetten,3,Female,Single,2373
278,Altstetten,3,Female,Unknown,3
279,Altstetten,3,Female,Married,325
280,Altstetten,4,Male,Dissolved partnership,5
281,Altstetten,4,Male,Divorced,131
282,Altstetten,4,Male,In registered partnership,35
283,Altstetten,4,Male,Single,2822
284,Altstetten,4,Male,Unknown,3
285,Altstetten,4,Male,Married,1281
286,Altstetten,4,Male,Widowed,2
287,Altstetten,4,Female,Dissolved partnership,6
288,Altstetten,4,Female,Divorced,195
289,Altstetten,4,Female,In registered partnership,6
290,Altstetten,4,Female,Single,2209
291,Altstetten,4,Female,Unknown,3
292,Altstetten,4,Female,Married,1437
293,Altstetten,4,Female,Widowed,8
294,Altstetten,5,Male,Dissolved partnership,22
295,Altstetten,5,Male,Divorced,277
296,Altstetten,5,Male,In registered partnership,39
297,Altstetten,5,Male,Single,1173
298,Altstetten,5,Male,Unknown,1
299,Altstetten,5,Male,Married,1390
300,Altstetten,5,Male,Widowed,8
301,Altstetten,5,Female,Dissolved partnership,2
302,Altstetten,5,Female,Divorced,378
303,Altstetten,5,Female,In registered partnership,6
304,Altstetten,5,Female,Single,839
305,Altstetten,5,Female,Married,1293
306,Altstetten,5,Female,Widowed,20
307,Altstetten,6,Male,Dissolved partnership,5
308,Altstetten,6,Male,Divorced,370
309,Altstetten,6,Male,In registered partnership,30
310,Altstetten,6,Male,Single,603
311,Altstetten,6,Male,Married,1202
312,Altstetten,6,Male,Widowed,17
313,Altstetten,6,Female,Dissolved partnership,2
314,Altstetten,6,Female,Divorced,409
