,name,address
197,Migros,Stüdliackerstrasse 4 8207 Schaffhausen
198,Migros,Bahnhofstrasse 28 6210 Sursee
199,Migros,C.F. Ballystrasse 14 5012 Schönenwerd
200,Migros,Hertensteinstrasse 9 6004 Luzern
201,Migros,Amp-Strasse 2 9552 Bronschhofen
202,Migros,Obere Bahnhofstrasse 5 9500 Wil Sg
203,Migros,Zentralstrasse 1 6003 Luzern
204,Migros,Ruopigenplatz 6015 Luzern
205,Migros,Zentralstrasse 7 6003 Luzern
206,Migros,Bruchstrasse 18 6003 Luzern
207,Migros,Gewerbestrasse 4 8864 Reichenburg
208,Migros,Wilerstrasse 204 9533 Kirchberg Sg
209,Migros,Winkelriedstrasse 58 6003 Luzern
210,Migros,Tribschenstrasse 62 6005 Luzern
211,Migros,Langensandstrasse 23 6005 Luzern
212,Migros,Hauptstrasse 44 5070 Frick
213,Migros,Wilerstrasse 17 9602 Bazenheid
214,Migros,Landstrasse 41 9606 Bütschwil
215,Migros,Mythen-Centerstrasse 18 6438 Ibach
216,Migros,Luzernerstrasse 143 6014 Luzern
217,Migros,Zihlmattweg 46 6005 Luzern
218,Migros,Bahnhofplatz 19 6440 Brunnen
219,Migros,Luzernerstrasse 30 6010 Kriens
220,Migros,Am Mattenhof 2 6010 Kriens
221,Migros,Bahnhofstrasse 19 9630 Wattwil
222,Migros,Gemeindehausplatz 14 + 15 6048 Horw
223,Migros,Thurstrasse 3 8555 Müllheim Dorf
224,Migros,Biberstrasse 30 8240 Thayngen
225,Migros,Hauptstrasse 20 4654 Lostorf
226,Migros,Hauptstrasse 52 6260 Reiden
227,Migros,Rüediswilerstrasse 79 6017 Ruswil
228,Migros,Baselstrasse 7 6252 Dagmersellen
229,Migros,Aarburgerstrasse 5 4800 Zofingen
230,Migros,Herbergstrasse 17 9524 Zuzwil Sg
231,Migros,Ennetbürgerstrasse 45 6374 Buochs
232,Migros,Lindenstrasse 5 9240 Uzwil
233,Migros,Weihermatte 7a / 7b 6102 Malters
234,Migros,Zürichstrasse 2 4665 Oftringen
235,Migros,Im Feldbach 1b 8266 Steckborn
236,Migros,Kapplerstrasse 16 9642 Ebnat-Kappel
237,Migros,Seestrasse 43 6052 Hergiswil Nw
238,Migros,Grossmatt 1 6243 Egolzwil
239,Migros,Louis Giroud-Strasse 20 4600 Olten
240,Migros,Schaffhauserstrasse 61 4332 Stein Ag
241,Migros,Solothurnerstrasse 21 4600 Olten
242,Migros,Weststrasse 27 / 29 8570 Weinfelden
243,Migros,Bitzistrasse 2 6370 Stans
244,Migros,Ziegelbrückstrasse 21 8867 Niederurnen
245,Migros,Amriswilerstrasse 12 8570 Weinfelden
246,Migros,Neue Aarburgstrasse 20 4852 Rothrist
247,Migros,Ettiswilerstrasse 14 6130 Willisau
248,Migros,Magdenauerstrasse 10 9230 Flawil
249,Migros,Entlebucherstrasse 36 6110 Wolhusen
250,Migros,Hauptstrasse 81 9113 Degersheim
251,Migros,Oberdorf 44 8752 Näfels
252,Migros,Badweg 2 4460 Gelterkinden
253,Migros,Hauptstrasse 3 8583 Sulgen
254,Migros,Zelgmatte 2 6144 Zell Lu
255,Migros,Fahrackerstrasse 1 4853 Murgenthal
256,Migros,Hauptstrasse 17 4450 Sissach
257,Migros,Stadtbühlstrasse 12 9200 Gossau Sg
258,Migros,Hauptstrasse 91 4313 Möhlin
259,Migros,St. Gallerstrasse 115 9200 Gossau Sg
260,Migros,Hausimollstrasse 1 4622 Egerkingen
261,Migros,Steigstrasse 5 9220 Bischofszell
262,Migros,Hauptstrasse 117 8274 Tägerwilen
263,Migros,Schweizerhofstrasse 6 8750 Glarus
264,Migros,Gitschenstrasse 14 6460 Altdorf
265,Migros,Alpsteinstrasse 8b 9100 Herisau
266,Migros,Gotthardstrasse 67 6460 Altdorf Ur
267,Migros,Gartenstrasse 2 9100 Herisau
268,Migros,Hauptstrasse 63 8280 Kreuzlingen
269,Migros,Nelkenstrasse 5 6060 Sarnen
270,Migros,Bleichestrasse 15 8280 Kreuzlingen
271,Migros,Lindenstrasse 3 4310 Rheinfelden
272,Migros,Wiesenstrasse 28 4900 Langenthal
273,Migros,Schrofenstrasse 19 8580 Amriswil
274,Migros,Wiesenbachstrasse 7 9030 Abtwil Sg
275,Migros,Bernstrasse 6 4950 Huttwil
276,Migros,Grüngenstrasse 1 4416 Bubendorf
277,Migros,Kasernenstrasse 8 4410 Liestal
278,Migros,Rütistrasse 10a 8580 Amriswil
279,Migros,Fürstenlandstrasse 157 9014 St.Gallen
280,Migros,Vormüli 1 6170 Schüpfheim
281,Migros,Mühlefeldstrasse 53 4702 Oensingen
282,Migros,Ergolzstrasse 2 4414 Füllinsdorf
283,Migros,Gotthardstrasse 144 6472 Erstfeld
284,Migros,Ulmenstrasse 11 9000 St. Gallen
285,Migros,Klosterstrasse 5 6390 Engelberg
286,Migros,Goldgasse 13 4710 Balsthal
287,Migros,St. Leonhardstrasse 35 9000 St. Gallen
288,Migros,Brühlgasse 28 9000 St.Gallen
289,Migros,Burggartenstrasse 21 4133 Pratteln
290,Migros,Langgasse 20 9008 St. Gallen
291,Migros,Speicherstrasse 8 9053 Teufen Ar
292,Migros,Bachstrasse 29 9008 St. Gallen
293,Migros,Oedenhof 1c 9300 Wittenbach
294,Migros,Rorschacherstrasse 150 9006 St. Gallen
295,Migros,Bernstrasse 33 3360 Herzogenbuchsee
296,Migros,Bahnhofstrasse 27 8880 Walenstadt
297,Migros,Rorschacherstrasse 249 9016 St. Gallen
298,Migros,Unteres Ziel 9050 Appenzell
299,Migros,Bahnhofstrasse 54a 8590 Romanshorn
300,Migros,Rothausstrasse 17 4132 Muttenz
301,Migros,Lutzertstrasse 40 4132 Muttenz
302,Migros,Postplatz 7 4144 Arlesheim
303,Migros,St. Gallerstrasse 6 9320 Arbon
304,Migros,Rössligasse/Webergässchen 8 4125 Riehen
305,Migros,Lochrietstrasse 27 8890 Flums
306,Migros,Wollmattweg 7 4143 Dornach
307,Migros,Chrischonastrasse 2 4127 Birsfelden
308,Migros,Hauptstrasse 95 4147 Aesch
309,Migros,Seestrasse 119 9326 Horn
310,Migros,Kaspar Pfeiffer-Strasse 2 4142 Münchenstein
311,Migros,Herrenweg 11 4153 Reinach Bl
312,Migros,Niederbergstrasse 1 4153 Reinach Bl
313,Migros,Ulrich-Rösch-Strasse 5 9403 Goldach
314,Migros,Hardstrasse 105 4052 Basel
315,Migros,Riehenstrasse 315 4058 Basel
316,Migros,Grenzacherstrasse 62 / 64 4058 Basel
317,Migros,Güterstrasse 180 4053 Basel
318,Migros,Aeschenvorstadt 24 4051 Basel
319,Migros,Centralbahnstrasse 10 4051 Basel
320,Migros,Efringerstrasse 32 4057 Basel
321,Migros,Trischlistrasse 15 9400 Rorschach
322,Migros,Untere Rebgasse 11 4058 Basel
323,Migros,Eisengasse 12 4051 Basel
324,Migros,Hochbergerstrasse 70 4057 Basel
325,Migros,Promenadenstrasse 83 9400 Rorschach
326,Migros,Gorenmattstrasse 17 4102 Binningen
327,Migros,Schützenmattstrasse 27 4051 Basel
328,Migros,Hauptstrasse 71 4102 Binningen
329,Migros,Hauptstrasse 22 4552 Derendingen
330,Migros,Schlossstrasse 1a 3550 Langnau i. E.
331,Migros,Laufenstrasse 4 4226 Breitenbach
332,Migros,Mülhauserstrasse 70 - 72 4056 Basel
333,Migros,Allschwilerstrasse 31 4055 Basel
334,Migros,Mühlemattstrasse 18 4104 Oberwil
335,Migros,Burgfelderstrasse 11 4055 Basel
336,Migros,Therwilerstrasse 9 4107 Ettingen
337,Migros,Neuweilerplatz 7 4054 Basel
338,Migros,Churerstrasse 10 9470 Buchs Sg
339,Migros,Hauptstrasse 60 - 62 4528 Zuchwil
340,Migros,Friedhofstrasse 1 4563 Gerlafingen
341,Migros,Spitzwaldstrasse 215 4123 Allschwil
342,Migros,Baslerstrasse 191 4123 Allschwil
343,Migros,Hauptstrasse 21 4562 Biberist
344,Migros,Stossstrasse 2 9450 Altstätten Sg
345,Migros,Sonnentalstrasse 2 9410 Heiden
346,Migros,Baselstrasse 30 / 32 4500 Solothurn
347,Migros,Bahnhofstrasse 1 3860 Meiringen
348,Migros,Emmenau 3 3415 Hasle-Rüegsau
349,Migros,Lyssachstrasse 27 3400 Burgdorf
350,Migros,Im Rösle 2 9494 Schaan
351,Migros,Bahnhofstrasse 4 4242 Laufen
352,Migros,Wengistrasse 13 4500 Solothurn
353,Migros,Bielstrasse 80 4500 Solothurn
354,Migros,Grossfeldstrasse 56 8879 Pizolpark (Mels)
355,Migros,Hauptstrasse 29 3427 Utzenstorf
