,name,address
101,Coop Supermarkt Dietikon Florastrasse,"Florastrasse 22+24, 8953 Dietikon"
102,Coop Supermarkt Oberrieden,"Alte Landstrasse 26, 8942 Oberrieden"
103,Coop Supermarkt Geroldswil,"Huebwiesenstrasse 25, 8954 Geroldswil"
104,Coop Supermarkt Herrliberg,"Forchstrasse 45, 8704 Herrliberg"
105,Coop Supermarkt Dietikon Steinmürlistrasse,"Steinmürlistrasse 38, 8953 Dietikon"
106,Coop Supermarkt Buchs ZH,"Zürcherstrasse 10, 8107 Buchs"
107,Coop Supermarkt Feldmeilen,"General-Willestrasse 65, 8706 Feldmeilen"
108,Coop Supermarkt Dietikon Silbern,"Silbernstrasse 9, 8953 Dietikon"
109,Coop Supermarkt Effretikon Effimärt,"Haldenstrasse 10, 8307 Effretikon"
110,Coop Supermarkt Uster Niederuster,"Sonnenbergstrasse 8, 8610 Uster"
111,Coop Supermarkt Effretikon Watt,"Illnauerstrasse 16, 8307 Effretikon"
112,Coop Supermarkt Niederglatt,"Sägereistrasse 2, 8172 Niederglatt"
113,Coop Supermarkt Uster Winterthurerstrasse,"Winterthurerstrasse 22, 8610 Uster"
114,Coop Supermarkt Berikon,"Bahnhofstrasse 3, 8965 Berikon"
115,Coop Supermarkt Dielsdorf,"Niederhaslistrasse 5, 8157 Dielsdorf"
116,Coop Supermarkt Uster Bahnhof,"Uster Bahnhof, 8610 Uster"
117,Coop Supermarkt Affoltern am Albis,"Büelstrasse 15, 8910 Affoltern am Albis"
118,Coop Supermarkt Horgen Leue-Huus,"Zugerstrasse 35, 8810 Horgen"
119,Coop Supermarkt Egg,"Gewerbestrasse 13, 8132 Egg ZH"
120,Coop Supermarkt Bachenbülach,"Grabenstrasse 6, 8184 Bachenbülach"
121,Coop Supermarkt Bachenbülach,"Grabenstrasse 6, 8184 Bachenbülach"
122,Coop Supermarkt Meilen,"Dorfstrasse 140, 8706 Meilen"
123,Coop Supermarkt Uster Oberuster,"Aathalstrasse 40, 8610 Uster"
124,Coop Supermarkt Bremgarten,"Sonnengutstrasse 2, 5620 Bremgarten"
125,Coop Supermarkt Obfelden,"Ottenbacherstrasse 23, 8912 Obfelden"
126,Coop Supermarkt Würenlos,"Poststrasse 1, 5436 Würenlos"
127,Coop Supermarkt Embrach,"Dorfstrasse 138, 8424 Embrach"
128,Coop Supermarkt Horgen Waldegg,"Einsiedlerstrasse 301, 8810 Horgen"
129,Coop Supermarkt Würenlos Autobahnraststätte,"Shopping-Raststätte A1, 5436 Würenlos"
130,Coop Supermarkt Fehraltorf,"Grundstrasse 1, 8320 Fehraltorf"
131,Coop Supermarkt Uetikon,"Bergstrasse 93, 8707 Uetikon"
132,Coop Supermarkt Bülach im Guss,"Schaffhauserstrasse 110, 8180 Bülach"
133,Coop Supermarkt Au Wädenswil,"Alte Landstrasse 26, 8804 Au"
134,Coop Supermarkt Männedorf,"Dammstrasse 18, 8708 Männedorf"
135,Coop Supermarkt Neuenhof,"Albertstrasse 2, 5432 Neuenhof"
136,Coop Supermarkt Gossau ZH,"Büelgass, 8625 Gossau"
137,Coop Supermarkt Pfäffikon ZH,"Turmstrasse 8/10, 8330 Pfäffikon"
138,Coop Supermarkt Winterthur Lokwerk,"Zürcherstrasse 51, 8406 Winterthur"
139,Coop Supermarkt Wettingen Tägipark,"Jurastrasse 42-46, 5430 Wettingen"
140,Coop Supermarkt Niederrohrdorf,"Zentrum 2, 5443 Niederrohrdorf"
141,Coop Supermarkt Winterthur Wülflingen,"Wülflingerstrasse 271, 8408 Winterthur"
142,Coop Supermarkt Wädenswil di alt Fabrik,"Florhofstrasse 9, 8820 Wädenswil"
143,Coop Supermarkt Wädenswil,"Zugerstrasse 6, 8820 Wädenswil"
144,Coop Supermarkt Muri AG,"Seetalstrasse 1, 5630 Muri"
145,Coop Supermarkt Neftenbach,"Winterthurstrasse 17, 8413 Neftenbach"
146,Coop Supermarkt City Winterthur Food,"Bahnhofplatz 3, 8400 Winterthur"
147,Coop Supermarkt Winterthur Stadttor,"Bahnhofplatz 5, 8400 Winterthur"
148,Coop Supermarkt Winterthur Stadtgarten,"Bankstrasse 8/12, 8400 Winterthur"
149,Coop Supermarkt Kollbrunn,"Dorfstrasse 8A, 8483 Kollbrunn"
150,Coop Supermarkt Winterthur Feldstrasse,"Feldstrasse 11, 8400 Winterthur"
151,Coop Supermarkt Ehrendingen,"Dorfstrasse 17, 5420 Ehrendingen"
152,Coop Supermarkt Baar Oberdorf,"Oberdorfstrasse 6A, 6340 Baar"
153,Coop Supermarkt Wetzikon,"Kirchgasse 4, 8620 Wetzikon"
154,Coop Supermarkt Glattfelden,"Emmerstrasse 12, 8192 Glattfelden"
155,Coop Supermarkt Baar Gotthard,"Poststrasse 3, 6340 Baar"
156,Coop Supermarkt Winterthur Seen,"Tösstalstrasse 236, 8405 Winterthur"
157,Coop Supermarkt Stäfa,"Kronenstrasse 4+6, 8712 Stäfa"
158,Coop Supermarkt Steinhausen,"Bahnhofstrasse 7, 6312 Steinhausen"
159,Coop Supermarkt Baden-Dättwil,"Mellingerstrasse 212, 5405 Baden-Dättwil"
160,,
