,street_number,post_municipality,telephone,type_store,Angebot,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,gmaps_link
17, Kreuzstrasse 40,8008 Zürich,058 999 03 98,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Kreuzstrasse%2040,%208008,Z%C3%BCrich,%20Switzerland"
18, Hottingerstrasse 52,8032 Zürich,058 999 14 02,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hottingerstrasse%2052,%208032,Z%C3%BCrich,%20Switzerland"
19, Badenerstrasse 621,8048 Zürich,058 999 14 35,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Badenerstrasse%20621,%208048,Z%C3%BCrich,%20Switzerland"
20, Apollostrasse 2,8032 Zürich,058 999 03 03,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Apollostrasse%202,%208032,Z%C3%BCrich,%20Switzerland"
21, Toblerstrasse 76,8044 Zürich,058 999 14 33,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Toblerstrasse%2076,%208044,Z%C3%BCrich,%20Switzerland"
22, Hofwiesenstrasse 135,8057 Zürich,058 999 04 98,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hofwiesenstrasse%20135,%208057,Z%C3%BCrich,%20Switzerland"
23, Bockhornstrasse 1,8047 Zürich,058 999 05 70,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bockhornstrasse%201,%208047,Z%C3%BCrich,%20Switzerland"
24, Altstetterstrasse 145,8048 Zürich,058 999 03 97,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Altstetterstrasse%20145,%208048,Z%C3%BCrich,%20Switzerland"
25, Lindenplatz 4,8048 Zürich,058 999 04 10,Denner Express,"Bargeldbezug mit Post- / M-Card, Humidor",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Lindenplatz%204,%208048,Z%C3%BCrich,%20Switzerland"
26, Bachmattstrasse 59,8048 Zürich,058 999 14 86,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bachmattstrasse%2059,%208048,Z%C3%BCrich,%20Switzerland"
